"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
0.94874,316.51,34.254,0,2.3056e+05,70860,260.19,1.0377,-0.87607,1.3601,0.092447,0
0.9321,316.44,29.992,0,2.2701e+05,69126,258.35,1.0583,-0.92597,1.3773,0.094196,0
0.91549,316.11,25.689,0,2.2345e+05,67407,256.5,1.079,-0.97545,1.3947,0.095726,0
0.89892,315.52,21.365,0,2.1989e+05,65705,254.63,1.0998,-1.0244,1.4122,0.097029,0
0.88244,314.69,17.035,0,2.1634e+05,64024,252.75,1.1206,-1.0728,1.4297,0.0981,0
0.86607,313.61,12.719,0,2.1279e+05,62368,250.86,1.1414,-1.1205,1.4473,0.098933,0
0.84986,312.3,8.4318,0,2.0927e+05,60739,248.97,1.1621,-1.1673,1.465,0.099528,0
0.8338,310.77,4.1912,0,2.0577e+05,59139,247.08,1.1829,-1.2134,1.4825,0.099883,0
0.81786,309.02,-0.0010364,0,2.0228e+05,57561,245.18,1.2037,-1.2588,1.5,0.1,0
0.80204,307.06,-4.1435,0,1.9881e+05,56008,243.27,1.2245,-1.3035,1.5175,0.099882,0
0.78634,304.9,-8.2345,0,1.9535e+05,54478,241.35,1.2455,-1.3475,1.5351,0.099526,0
0.77072,302.53,-12.272,0,1.919e+05,52969,239.42,1.2665,-1.391,1.5527,0.098931,0
0.75522,299.98,-16.241,0,1.8846e+05,51483,237.48,1.2876,-1.4338,1.5703,0.098097,0
0.73985,297.24,-20.128,0,1.8504e+05,50022,235.53,1.3088,-1.4758,1.5879,0.097026,0
0.72467,294.34,-23.922,0,1.8164e+05,48590,233.58,1.3301,-1.517,1.6054,0.095722,0
0.70966,291.27,-27.608,0,1.7828e+05,47187,231.64,1.3512,-1.5574,1.6227,0.094192,0
0.69495,288.1,-31.181,0,1.7497e+05,45822,229.7,1.3724,-1.5967,1.64,0.092442,0
0.68039,284.76,-34.623,0,1.7168e+05,44485,227.76,1.3935,-1.6352,1.657,0.090482,0
0.66624,281.41,-37.946,0,1.6848e+05,43188,225.82,1.4148,-1.6725,1.6738,0.088324,0
0.6522,277.78,-41.098,0,1.6528e+05,41932,223.97,1.4351,-1.7086,1.6904,0.085979,0
0.6394,274.39,-44.167,0,1.6236e+05,40784,222.2,1.4545,-1.7417,1.7067,0.08346,0
0.62555,270.86,-47.07,0,1.5922e+05,39524,220.1,1.4777,-1.7779,1.7227,0.080782,0
0.61014,266.98,-49.657,0,1.5573e+05,38118,217.64,1.505,-1.8184,1.7384,0.07796,0
0.60116,262.14,-51.65,0,1.5339e+05,37607,217.92,1.5018,-1.8331,1.7537,0.075011,0
0.62594,250.23,-51.46,0,1.5694e+05,41924,233.33,1.3328,-1.7089,1.7686,0.07195,0
0.85768,243.71,-54.738,0,2.0503e+05,67464,274.02,0.87759,-0.97382,1.7831,0.068795,0
1.1432,244.47,-58.321,0,2.6732e+05,95877,292.17,0.64161,-0.15606,1.7972,0.065562,0
1.1356,245.36,-60.287,0,2.6573e+05,95049,291.59,0.64997,-0.1799,1.8109,0.062269,0
1.1286,244.27,-62.736,0,2.6417e+05,94398,291.37,0.65301,-0.19865,1.8242,0.058932,0
1.1349,241.46,-64.72,0,2.6541e+05,95153,292.08,0.64292,-0.17692,1.837,0.055567,0
