VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         130,      -6.488870169,      -2.896931402,       -4.67175382,     -0.6133423965
          0,           0,         131,      -6.508035811,      -2.910831304,      -4.683793139,     -0.6269306285
          0,           0,         132,      -6.527166658,       -2.92480187,      -4.695733996,     -0.6405900117
          0,           0,         133,      -6.546254667,      -2.938842715,      -4.707595292,     -0.6543201574
          0,           0,         134,        -6.5652916,      -2.952953453,      -4.719394476,     -0.6681206794
          0,           0,         135,      -6.584269045,      -2.967133701,      -4.731147584,     -0.6819911938
          0,           0,         136,       -6.60317845,      -2.981383075,      -4.742869274,     -0.6959313186
          0,           0,         137,      -6.622011132,      -2.995701195,      -4.754572888,     -0.7099406715
          0,           0,         138,      -6.640758331,      -3.010087681,      -4.766270522,     -0.7240188739
          0,           0,         139,      -6.659411245,      -3.024542152,      -4.777973112,     -0.7381655503
          0,           0,         140,       -6.67796108,      -3.039064233,      -4.789690523,     -0.7523803291
          0,           0,         141,      -6.696399077,      -3.053653547,      -4.801431556,     -0.7666628385
          0,           0,         142,      -6.714716554,       -3.06830972,      -4.813203806,     -0.7810126956
          0,           0,         143,      -6.732904914,      -3.083032382,      -4.825014555,     -0.7954295344
          0,           0,         144,        -6.7509559,      -3.097821164,      -4.836869917,      -0.809912991
          0,           0,         145,      -6.768861456,      -3.112675707,      -4.848775331,     -0.8244627157
          0,           0,         146,      -6.786613927,      -3.127595643,      -4.860735668,     -0.8390783438
          0,           0,         147,      -6.804206038,      -3.142580606,      -4.872755161,     -0.8537595137
          0,           0,         148,      -6.821630935,      -3.157630237,      -4.884837468,     -0.8685058688
          0,           0,         149,      -6.838882272,      -3.172744182,       -4.89698576,     -0.8833170551
          0,           0,         150,      -6.855954277,      -3.187922086,      -4.909202761,     -0.8981927212
          0,           0,         151,      -6.872841809,      -3.203163602,      -4.921490794,      -0.913132518
          0,           0,         152,      -6.889540403,      -3.218468384,      -4.933851814,     -0.9281360989
          0,           0,         153,      -6.906046324,      -3.233836088,      -4.946287463,     -0.9432031201
          0,           0,         154,      -6.922356594,      -3.249266375,       -4.95879909,     -0.9583332402
          0,           0,         155,      -6.938469028,       -3.26475891,      -4.971387797,     -0.9735261209
          0,           0,         156,      -6.954382249,      -3.280313361,       -4.98405448,     -0.9887814258
          0,           0,         157,       -6.97009571,      -3.295929399,      -4.996799816,      -1.004098823
          0,           0,         158,      -6.985609697,      -3.311606697,      -5.009624285,      -1.019477983
          0,           0,         159,      -7.000925218,      -3.327344917,      -5.022528237,      -1.034918563
          0,           0,         160,      -7.016044196,      -3.343143741,      -5.035511914,      -1.050420237
          0,           0,         161,      -7.030969475,      -3.359002878,      -5.048575489,      -1.065982712
          0,           0,         162,       -7.04570458,      -3.374922031,      -5.061719052,      -1.081605701
          0,           0,         163,      -7.060253663,      -3.390900886,      -5.074942449,      -1.097288869
          0,           0,         164,      -7.074621551,      -3.406939131,      -5.088245486,       -1.11303189
          0,           0,         165,      -7.088813676,      -3.423036457,      -5.101627844,      -1.128834437
          0,           0,         166,      -7.102836052,      -3.439192561,      -5.115089119,       -1.14469619
          0,           0,         167,      -7.116695215,      -3.455407146,      -5.128628887,       -1.16061684
          0,           0,         168,      -7.130398146,      -3.471679916,      -5.142246713,      -1.176596083
          0,           0,         169,      -7.143952216,      -3.488010582,      -5.155942159,      -1.192633622
          0,           0,         170,      -7.157365118,      -3.504398858,      -5.169714787,      -1.208729161
          0,           0,         171,      -7.170644806,      -3.520844459,      -5.183564123,      -1.224882406
          0,           0,         172,      -7.183799438,      -3.537347106,      -5.197489683,      -1.241093065
          0,           0,         173,        -7.1968373,       -3.55390652,       -5.21149103,      -1.257360852
          0,           0,         174,      -7.209766768,      -3.570522432,      -5.225567671,      -1.273685484
          0,           0,         175,      -7.222596215,      -3.587194562,      -5.239719106,      -1.290066668
          0,           0,         176,      -7.235334023,      -3.603922641,      -5.253944838,      -1.306504122
          0,           0,         177,      -7.247988507,        -3.6207064,      -5.268244334,      -1.322997563
          0,           0,         178,      -7.260567876,      -3.637545571,      -5.282617057,      -1.339546708
          0,           0,         179,      -7.273080196,      -3.654439891,       -5.29706247,      -1.356151282
          0,           0,         180,      -7.285533358,      -3.671389097,      -5.311580027,      -1.372811008
          0,           0,         181,       -7.29793506,      -3.688392928,      -5.326169211,      -1.389525614
          0,           0,         182,      -7.310292771,      -3.705451125,      -5.340829509,       -1.40629483
          0,           0,         183,      -7.322613712,       -3.72256343,      -5.355560395,      -1.423118386
          0,           0,         184,      -7.334904857,      -3.739729587,      -5.370361367,      -1.439996013
          0,           0,         185,      -7.347172909,       -3.75694934,      -5.385231932,      -1.456927445
          0,           0,         186,      -7.359424299,      -3.774222436,      -5.400171608,      -1.473912417
          0,           0,         187,      -7.371665171,      -3.791548622,      -5.415179915,      -1.490950663
