Density,Momentum:0,Momentum:1,Energy
1.2577,222.17,-2.5345,291030
1.2548,223.7,-2.3029,290450
1.252,225.14,-2.0985,289900
1.2493,226.49,-1.9173,289370
1.2467,227.75,-1.7561,288870
1.2443,228.94,-1.612,288390
1.2419,230.05,-1.4827,287920
1.2397,231.1,-1.3663,287480
1.2375,232.09,-1.2612,287060
1.2355,233.02,-1.166,286660
1.2335,233.9,-1.0794,286270
1.2317,234.72,-1.0005,285900
1.2299,235.5,-0.92849,285550
1.2282,236.24,-0.86275,285210
1.2266,236.93,-0.80128,284890
1.225,237.59,-0.74616,284580
1.2235,238.21,-0.6964,284280
1.2219,238.86,-0.64292,283970
1.2202,239.59,-0.58408,283620
1.2182,240.36,-0.52442,283230
1.2162,241.15,-0.46634,282840
1.2143,241.91,-0.41119,282450
1.2124,242.64,-0.36013,282060
1.2105,243.32,-0.31388,281700
1.2089,243.93,-0.27277,281370
1.2073,244.49,-0.23678,281060
1.206,244.97,-0.2057,280790
1.2048,245.39,-0.17914,280550
1.2037,245.75,-0.15668,280330
1.2028,246.06,-0.13783,280150
1.202,246.33,-0.12213,279990
1.2013,246.55,-0.10912,279850
1.2007,246.74,-0.098402,279730
1.2002,246.9,-0.089617,279620
1.1998,247.03,-0.08244,279540
1.1994,247.15,-0.076597,279460
1.199,247.24,-0.071857,279390
1.1988,247.33,-0.068023,279330
1.1985,247.4,-0.064925,279280
1.1983,247.47,-0.062431,279230
1.1981,247.53,-0.060423,279190
1.1979,247.58,-0.058801,279150
1.1977,247.63,-0.05754,279120
