Density,Momentumx,MomentumY,Energy
1.2578,283,9.2514E-06,294540
1.2584,282.83,9.9368E-06,294650
1.259,282.66,1.0675E-05,294770
1.2596,282.48,1.1477E-05,294890
1.2602,282.29,1.2336E-05,295020
1.2609,282.09,1.3261E-05,295150
1.2616,281.88,1.4249E-05,295290
1.2623,281.67,1.5311E-05,295440
1.263,281.44,1.6439E-05,295580
1.2638,281.21,1.7638E-05,295730
1.2645,280.98,1.8905E-05,295890
1.2653,280.74,2.0254E-05,296050
1.2661,280.49,2.1664E-05,296210
1.2669,280.24,2.3118E-05,296370
1.2678,279.99,2.4676E-05,296530
1.2686,279.73,2.6594E-05,296700
1.2694,279.48,2.8377E-05,296860
1.2702,279.23,2.935E-05,297020
1.271,278.98,3.0734E-05,297180
1.2718,278.73,3.6474E-05,297340
1.2725,278.49,3.8423E-05,297490
1.2732,278.26,1.8688E-05,297630
1.2739,278.04,-9.4473E-06,297770
1.2746,277.83,2.3725E-05,297900
1.2752,277.63,0.0001036,298030
1.2759,277.42,9.2014E-05,298160
1.2765,277.21,2.3676E-05,298290
1.2772,276.99,2.0516E-05,298420
1.2779,276.76,5.0474E-05,298560
1.2786,276.53,5.4801E-05,298700
1.2793,276.3,4.7887E-05,298840
1.28,276.06,4.9454E-05,298990
1.2808,275.81,5.4353E-05,299140
1.2815,275.55,5.6722E-05,299290
1.2823,275.29,5.8273E-05,299450
1.2831,275.03,6.0717E-05,299610
1.2839,274.75,6.3541E-05,299770
1.2848,274.47,6.6272E-05,299940
1.2856,274.18,6.9075E-05,300110
1.2865,273.89,7.2096E-05,300280
1.2874,273.59,7.5302E-05,300460
1.2883,273.27,7.8665E-05,300640
1.2892,272.95,8.2212E-05,300820
1.2901,272.63,8.5967E-05,301010
1.2911,272.29,8.9941E-05,301200
1.2921,271.94,9.4147E-05,301400
1.2931,271.59,9.8603E-05,301600
1.2941,271.22,0.00010333,301800
1.2952,270.85,0.00010835,302010
1.2963,270.47,0.00011368,302230
1.2973,270.07,0.00011934,302450
1.2985,269.66,0.00012537,302670
1.2996,269.25,0.0001318,302900
1.3008,268.82,0.00013865,303130
1.302,268.38,0.00014596,303370
1.3032,267.93,0.00015378,303610
1.3045,267.46,0.00016214,303860
1.3057,266.98,0.00017109,304120
1.307,266.49,0.00018069,304380
