"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1746,2.777e+05,0.76397,300.06,39.957,0,95477,-0.1676,283.17,1,1.152,1.152,0.3,0
1.1729,2.7736e+05,0.76607,300.37,39.988,0,95285,-0.17312,283.01,1,1.155,1.155,0.3,0
1.1712,2.7701e+05,0.76818,300.68,40.014,0,95092,-0.17868,282.84,1,1.158,1.158,0.3,0
1.1695,2.7666e+05,0.77031,300.98,40.03,0,94897,-0.18428,282.68,1,1.161,1.161,0.3,0
1.1678,2.7631e+05,0.77245,301.29,40.041,0,94702,-0.1899,282.51,1,1.164,1.164,0.3,0
1.166,2.7595e+05,0.7746,301.6,40.046,0,94505,-0.19556,282.34,1,1.167,1.167,0.3,0
1.1643,2.756e+05,0.77676,301.9,40.043,0,94307,-0.20126,282.17,1,1.17,1.17,0.3,0
1.1625,2.7524e+05,0.77893,302.2,40.035,0,94108,-0.20698,282,1,1.173,1.173,0.3,0
1.1608,2.7488e+05,0.78112,302.51,40.019,0,93908,-0.21274,281.83,1,1.176,1.176,0.3,0
1.159,2.7452e+05,0.78331,302.81,39.996,0,93707,-0.21853,281.66,1,1.179,1.179,0.3,0
1.1572,2.7415e+05,0.78552,303.11,39.969,0,93505,-0.22434,281.49,1,1.182,1.182,0.3,0
1.1554,2.7378e+05,0.78774,303.41,39.932,0,93302,-0.23019,281.31,1,1.185,1.185,0.3,0
1.1536,2.7341e+05,0.78997,303.71,39.89,0,93098,-0.23606,281.14,1,1.188,1.188,0.3,0
1.1518,2.7304e+05,0.79221,304.01,39.842,0,92893,-0.24196,280.96,1,1.191,1.191,0.3,0
1.15,2.7267e+05,0.79446,304.3,39.786,0,92687,-0.24789,280.78,1,1.194,1.194,0.3,0
1.1481,2.7229e+05,0.79672,304.6,39.726,0,92480,-0.25384,280.6,1,1.197,1.197,0.3,0
1.1463,2.7191e+05,0.79898,304.89,39.658,0,92273,-0.25981,280.42,1,1.2,1.2,0.3,0
1.1444,2.7154e+05,0.80126,305.18,39.583,0,92064,-0.26581,280.24,1,1.203,1.203,0.3,0
1.1426,2.7115e+05,0.80355,305.47,39.504,0,91855,-0.27183,280.06,1,1.206,1.206,0.3,0
1.1407,2.7077e+05,0.80584,305.76,39.416,0,91645,-0.27787,279.87,1,1.209,1.209,0.3,0
1.1388,2.7039e+05,0.80815,306.04,39.324,0,91434,-0.28394,279.69,1,1.212,1.212,0.3,0
1.137,2.7e+05,0.81046,306.33,39.226,0,91223,-0.29003,279.51,1,1.215,1.215,0.3,0
1.1351,2.6961e+05,0.81278,306.61,39.119,0,91011,-0.29613,279.32,1,1.218,1.218,0.3,0
1.1332,2.6922e+05,0.8151,306.89,39.009,0,90798,-0.30226,279.13,1,1.221,1.221,0.3,0
1.1313,2.6883e+05,0.81744,307.17,38.891,0,90584,-0.3084,278.95,1,1.224,1.224,0.3,0
1.1294,2.6844e+05,0.81978,307.44,38.767,0,90370,-0.31457,278.76,1,1.227,1.227,0.3,0
1.1274,2.6804e+05,0.82213,307.71,38.64,0,90155,-0.32075,278.57,1,1.23,1.23,0.3,0
1.1255,2.6765e+05,0.82449,307.98,38.504,0,89940,-0.32695,278.38,1,1.233,1.233,0.3,0
1.1236,2.6725e+05,0.82685,308.25,38.363,0,89724,-0.33316,278.19,1,1.236,1.236,0.3,0
1.1216,2.6685e+05,0.82922,308.52,38.218,0,89508,-0.33939,277.99,1,1.239,1.239,0.3,0
1.1197,2.6645e+05,0.8316,308.78,38.064,0,89291,-0.34564,277.8,1,1.242,1.242,0.3,0
1.1178,2.6605e+05,0.83398,309.04,37.906,0,89073,-0.3519,277.61,1,1.245,1.245,0.3,0
1.1158,2.6565e+05,0.83636,309.3,37.743,0,88855,-0.35817,277.41,1,1.248,1.248,0.3,0
1.1138,2.6524e+05,0.83876,309.56,37.573,0,88637,-0.36446,277.22,1,1.251,1.251,0.3,0
1.1119,2.6484e+05,0.84116,309.81,37.4,0,88418,-0.37076,277.02,1,1.254,1.254,0.3,0
1.1099,2.6443e+05,0.84356,310.06,37.22,0,88198,-0.37707,276.83,1,1.257,1.257,0.3,0
1.1079,2.6402e+05,0.84597,310.31,37.034,0,87979,-0.3834,276.63,1,1.26,1.26,0.3,0
1.1059,2.6361e+05,0.84839,310.55,36.845,0,87758,-0.38973,276.43,1,1.263,1.263,0.3,0
1.104,2.632e+05,0.85081,310.79,36.648,0,87538,-0.39608,276.23,1,1.266,1.266,0.3,0
1.102,2.6279e+05,0.85323,311.03,36.447,0,87317,-0.40243,276.03,1,1.269,1.269,0.3,0
1.1,2.6238e+05,0.85566,311.27,36.241,0,87096,-0.40879,275.83,1,1.272,1.272,0.3,0
1.098,2.6196e+05,0.8581,311.5,36.029,0,86875,-0.41517,275.63,1,1.275,1.275,0.3,0
