VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         109,      -6.248966552,      -3.062533434,      -4.294114562,     -0.7985838871
          0,           0,         110,       -6.25990888,      -3.069202627,      -4.310667009,     -0.8051253176
          0,           0,         111,      -6.270862417,      -3.075884673,      -4.327291821,     -0.8116748502
          0,           0,         112,       -6.28182856,      -3.082581102,      -4.343987907,     -0.8182336373
          0,           0,         113,      -6.292808601,      -3.089293402,      -4.360754199,     -0.8248028621
          0,           0,         114,      -6.303803868,      -3.096023015,      -4.377589739,     -0.8313838847
          0,           0,         115,      -6.314815652,      -3.102771309,      -4.394493731,     -0.8379781413
          0,           0,         116,      -6.325845168,      -3.109539615,      -4.411465507,     -0.8445870749
          0,           0,         117,      -6.336893376,      -3.116329194,      -4.428504443,     -0.8512119235
          0,           0,         118,      -6.347960888,      -3.123141223,      -4.445609845,     -0.8578536148
          0,           0,         119,      -6.359047967,       -3.12997678,      -4.462780841,     -0.8645127711
          0,           0,         120,        -6.3701546,      -3.136836831,      -4.480016261,     -0.8711897842
          0,           0,         121,      -6.381280623,       -3.14372223,      -4.497314533,     -0.8778849352
          0,           0,         122,      -6.392425844,      -3.150633716,      -4.514673607,     -0.8845985114
          0,           0,         123,      -6.403590144,      -3.157571923,      -4.532090927,     -0.8913308854
          0,           0,         124,      -6.414773524,      -3.164537385,      -4.549563362,     -0.8980825438
          0,           0,         125,      -6.425976108,      -3.171530549,      -4.567087299,     -0.9048540727
          0,           0,         126,      -6.437198088,      -3.178551779,      -4.584658685,     -0.9116461041
          0,           0,         127,      -6.448439697,       -3.18560138,      -4.602273124,     -0.9184592874
          0,           0,         128,       -6.45970116,      -3.192679598,      -4.619925955,     -0.9252942412
          0,           0,         129,      -6.470982682,      -3.199786636,       -4.63761242,      -0.932151549
          0,           0,         130,      -6.482284443,      -3.206922652,      -4.655327618,     -0.9390317611
          0,           0,         131,      -6.493606637,      -3.214087778,      -4.673066612,     -0.9459354265
          0,           0,         132,      -6.504949472,      -3.221282129,      -4.690824489,      -0.952863094
          0,           0,         133,      -6.516313148,      -3.228505766,      -4.708596462,     -0.9598152777
          0,           0,         134,      -6.527697908,      -3.235758758,      -4.726377656,      -0.966792516
          0,           0,         135,      -6.539104002,      -3.243041161,      -4.744163149,     -0.9737953323
          0,           0,         136,      -6.550531658,      -3.250353016,      -4.761947897,     -0.9808242169
          0,           0,         137,      -6.561981063,      -3.257694356,      -4.779726707,     -0.9878796111
          0,           0,         138,      -6.573452313,      -3.265065199,      -4.797494184,     -0.9949618839
          0,           0,         139,      -6.584945491,      -3.272465563,      -4.815244858,       -1.00207137
          0,           0,         140,      -6.596460559,      -3.279895451,      -4.832972621,      -1.009208328
          0,           0,         141,      -6.607997402,      -3.287354864,      -4.850670977,      -1.016372966
          0,           0,         142,      -6.619555857,      -3.294843809,      -4.868333115,      -1.023565482
          0,           0,         143,      -6.631135597,      -3.302362255,      -4.885951943,       -1.03078595
          0,           0,         144,      -6.642736272,      -3.309910182,       -4.90351992,      -1.038034453
          0,           0,         145,      -6.654357464,      -3.317487573,      -4.921029098,      -1.045311061
          0,           0,         146,      -6.665998647,      -3.325094408,      -4.938471093,      -1.052615803
          0,           0,         147,      -6.677659193,      -3.332730668,      -4.955837099,      -1.059948676
          0,           0,         148,      -6.689338397,      -3.340396323,      -4.973117965,      -1.067309667
          0,           0,         149,      -6.701035518,      -3.348091347,      -4.990304297,      -1.074698773
          0,           0,         150,      -6.712749792,       -3.35581571,      -5.007386555,       -1.08211602
          0,           0,         151,      -6.724480446,      -3.363569383,      -5.024355121,      -1.089561462
          0,           0,         152,      -6.736226682,      -3.371352338,       -5.04120036,      -1.097035176
          0,           0,         153,      -6.747987661,      -3.379164545,      -5.057912656,      -1.104537257
          0,           0,         154,      -6.759762483,      -3.387005976,      -5.074482444,      -1.112067801
          0,           0,         155,      -6.771550169,      -3.394876604,      -5.090900245,      -1.119626905
          0,           0,         156,      -6.783349643,      -3.402776404,      -5.107156703,      -1.127214654
          0,           0,         157,      -6.795159724,       -3.41070535,      -5.123242619,      -1.134831122
          0,           0,         158,      -6.806979124,      -3.418663416,      -5.139149015,      -1.142476369
          0,           0,         159,      -6.818806448,      -3.426650579,      -5.154867199,      -1.150150448
          0,           0,         160,      -6.830640193,      -3.434666815,      -5.170388822,      -1.157853401
          0,           0,         161,      -6.842478752,      -3.442712102,      -5.185705952,      -1.165585264
          0,           0,         162,      -6.854320417,      -3.450786418,       -5.20081116,      -1.173346066
          0,           0,         163,      -6.866163379,       -3.45888974,      -5.215697581,      -1.181135832
          0,           0,         164,      -6.878005727,      -3.467022048,      -5.230358997,      -1.188954579
          0,           0,         165,      -6.889845453,      -3.475183321,      -5.244789897,       -1.19680232
          0,           0,         166,      -6.901680451,      -3.483373536,      -5.258985541,      -1.204679065
          0,           0,         167,      -6.913508522,      -3.491592673,      -5.272942009,      -1.212584819
          0,           0,         168,      -6.925327378,      -3.499840708,      -5.286656252,      -1.220519583
          0,           0,         169,      -6.937134644,      -3.508117621,      -5.300126131,      -1.228483358
          0,           0,         170,      -6.948927866,      -3.516423385,      -5.313350424,      -1.236476142
          0,           0,         171,      -6.960704509,      -3.524757978,      -5.326328846,      -1.244497933
          0,           0,         172,      -6.972461967,      -3.533121373,      -5.339062041,      -1.252548727
          0,           0,         173,       -6.98419756,      -3.541513544,      -5.351551578,       -1.26062852
          0,           0,         174,      -6.995908541,      -3.549934461,      -5.363799949,      -1.268737306
          0,           0,         175,      -7.007592095,      -3.558384096,      -5.375810593,      -1.276875078
          0,           0,         176,      -7.019245332,      -3.566862422,      -5.387587489,      -1.285041826
          0,           0,         177,      -7.030865352,      -3.575369397,      -5.399135616,       -1.29323754
          0,           0,         178,      -7.042449189,      -3.583904991,      -5.410460371,      -1.301462216
          0,           0,         179,       -7.05399381,      -3.592469168,      -5.421568038,      -1.309715842
          0,           0,         180,      -7.065496133,      -3.601061895,      -5.432465525,      -1.317998399
          0,           0,         181,       -7.07695304,      -3.609683137,      -5.443160182,      -1.326309869
          0,           0,         182,       -7.08836138,      -3.618332854,      -5.453659737,      -1.334650227
          0,           0,         183,      -7.099717989,      -3.627011007,       -5.46397225,      -1.343019447
          0,           0,         184,      -7.111019697,      -3.635717558,      -5.474106055,      -1.351417506
          0,           0,         185,      -7.122263333,      -3.644452467,      -5.484069725,      -1.359844379
          0,           0,         186,      -7.133445733,      -3.653215697,      -5.493872097,       -1.36830004
          0,           0,         187,      -7.144563764,      -3.662007205,      -5.503521734,      -1.376784463
          0,           0,         188,       -7.15561433,      -3.670826954,      -5.513027441,      -1.385297623
          0,           0,         189,      -7.166594366,      -3.679674904,      -5.522397975,      -1.393839491
          0,           0,         190,       -7.17750084,      -3.688551003,      -5.531641977,      -1.402410024
          0,           0,         191,      -7.188330827,      -3.697455227,      -5.540767818,        -1.4110092
          0,           0,         192,      -7.199081469,      -3.706387537,      -5.549783888,      -1.419636991
          0,           0,         193,      -7.209749997,      -3.715347895,      -5.558698359,      -1.428293365
          0,           0,         194,      -7.220333752,      -3.724336263,      -5.567519129,      -1.436978291
          0,           0,         195,      -7.230830202,      -3.733352606,      -5.576253855,      -1.445691736
          0,           0,         196,      -7.241236948,      -3.742396886,      -5.584909934,       -1.45443367
          0,           0,         197,      -7.251551738,      -3.751469067,      -5.593494469,      -1.463204058
          0,           0,         198,      -7.261772481,      -3.760569116,      -5.602014273,      -1.472002871
