"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          65,      -5.365950961,       -2.21016911,      -3.189537093,     0.09259885516
          0,           0,          66,      -5.384527487,      -2.219918918,      -3.210558054,     0.07723416454
          0,           0,          67,      -5.402921255,      -2.229567292,      -3.231431729,     0.06223722526
          0,           0,          68,      -5.420888179,      -2.239124738,      -3.252225524,     0.04789018716
          0,           0,          69,      -5.438258043,      -2.248600008,      -3.273005441,      0.0343718613
          0,           0,          70,      -5.454960774,      -2.258000657,       -3.29382208,     0.02173421433
          0,           0,          71,      -5.471019736,      -2.267333602,      -3.314706292,    0.009919576752
          0,           0,          72,       -5.48652393,      -2.276605601,      -3.335672426,   -0.001199645108
          0,           0,          73,      -5.501594147,      -2.285823125,      -3.356727455,    -0.01177812168
          0,           0,          74,      -5.516354256,      -2.294993329,      -3.377872268,    -0.02196441917
          0,           0,          75,      -5.530912938,      -2.304121373,      -3.399126414,    -0.03188222702
