Density,Momentumx,Momentumy,Energy
1.2098,222.33,-0.001403,280390
1.2088,222.88,-0.0013476,280200
1.2078,223.43,-0.001295,280010
1.2069,223.98,-0.001257,279820
1.2059,224.54,-0.0012195,279630
1.2049,225.09,-0.0011808,279440
1.2039,225.63,-0.0011426,279250
1.203,226.15,-0.0011046,279070
1.202,226.67,-0.0010675,278890
1.2012,227.16,-0.0010315,278730
1.2003,227.64,-0.00099701,278560
1.1995,228.09,-0.00096395,278410
1.1988,228.53,-0.0009323,278260
1.198,228.94,-0.00090227,278130
1.1974,229.33,-0.00087383,278000
1.1967,229.7,-0.0008469,277880
1.1961,230.04,-0.00082161,277770
1.1956,230.37,-0.00079784,277670
1.1951,230.67,-0.00077541,277570
1.1946,230.96,-0.00075449,277480
1.1942,231.22,-0.00073491,277400
1.1938,231.47,-0.0007165,277330
1.1934,231.7,-0.00069924,277260
1.1931,231.92,-0.0006832,277200
1.1928,232.12,-0.00066848,277140
1.1925,232.31,-0.00065475,277090
1.1922,232.48,-0.00064197,277040
1.192,232.64,-0.00063025,276990
1.1918,232.79,-0.00061937,276950
1.1916,232.93,-0.0006093,276920
1.1914,233.07,-0.00060003,276880
1.1912,233.19,-0.00059147,276850
1.1911,233.3,-0.00058358,276820
1.1909,233.41,-0.00057634,276800
1.1908,233.51,-0.00056963,276770
1.1906,233.61,-0.00056344,276750
1.1905,233.7,-0.00055781,276730
1.1904,233.78,-0.00055261,276710
1.1903,233.86,-0.00054781,276690
1.1902,233.93,-0.00054343,276670
1.1901,234,-0.00053939,276660
1.19,234.07,-0.00053561,276640
1.19,234.13,-0.00053218,276630
1.1899,234.19,-0.00052892,276610
1.1898,234.25,-0.00052606,276600
1.1897,234.31,-0.00052297,276590
1.1897,234.36,-0.00052064,276580
1.1896,234.41,-0.00051717,276560
1.1895,234.46,-0.00051599,276550
1.1895,234.51,-0.00051071,276540
1.1894,234.56,-0.00051357,276530
1.1894,234.6,-0.00049938,276520
1.1893,234.65,-0.00051975,276510
1.1893,234.69,-0.00053402,276500
1.1892,234.74,-0.00061224,276490
1.1892,234.79,0.00051311,276490
1.1891,234.8,-0.00079475,276470
1.1887,234.66,-0.024624,276380
1.1891,235.5,-0.042559,276500
1.25,285.27,8.0296E-06,292960
1.25,285.27,0.00015686,292960
1.25,285.27,0.00030148,292960
1.25,285.27,0.00044149,292960
1.25,285.26,0.00058961,292960
1.25,285.26,0.00073977,292970
1.25,285.26,0.0008897,292970
1.25,285.26,0.0010416,292970
