Density,Momentum_x,Momentum_y,Energy
1.25,285.26,0.0010013,292970
1.25,285.26,0.0013421,292970
1.25,285.25,0.0016928,292970
1.25,285.25,0.0020505,292980
1.2501,285.24,0.0024229,292980
1.2501,285.23,0.002815,292990
1.2501,285.22,0.0032308,293000
1.2502,285.2,0.0036754,293010
1.2502,285.19,0.0041547,293020
1.2503,285.17,0.0046753,293030
1.2504,285.14,0.0052444,293050
1.2505,285.12,0.0058707,293070
1.2506,285.08,0.0065639,293090
1.2507,285.05,0.0073355,293120
1.2509,285,0.0081988,293150
1.2511,284.95,0.0091693,293190
1.2513,284.88,0.010265,293240
1.2516,284.81,0.011508,293290
1.2519,284.72,0.012921,293350
1.2522,284.62,0.014534,293420
1.2527,284.5,0.016379,293500
1.2531,284.36,0.018491,293600
1.2537,284.2,0.020911,293710
1.2543,284.01,0.023685,293840
1.2551,283.8,0.02686,293990
1.2559,283.56,0.030486,294150
1.2568,283.29,0.034614,294340
1.2579,282.99,0.039293,294550
1.259,282.65,0.044566,294780
1.2603,282.27,0.050469,295030
1.2616,281.86,0.057017,295300
1.2631,281.42,0.064216,295600
1.2646,280.95,0.072026,295900
1.2662,280.46,0.080411,296220
1.2678,279.96,0.089222,296550
1.2695,279.45,0.098403,296880
1.2711,278.95,0.10752,297200
1.2726,278.46,0.11638,297500
1.274,278.01,0.12466,297790
1.2754,277.6,0.13368,298060
1.2766,277.18,0.14306,298310
1.278,276.73,0.15135,298580
1.2794,276.26,0.16084,298870
1.2809,275.77,0.17149,299160
1.2824,275.25,0.1828,299470
1.2841,274.71,0.19492,299800
1.2858,274.14,0.20803,300140
1.2875,273.53,0.22219,300490
1.2894,272.9,0.2375,300850
1.2913,272.23,0.25409,301240
1.2933,271.53,0.2721,301640
1.2954,270.78,0.29168,302060
1.2976,270,0.313,302490
1.2998,269.17,0.33626,302950
1.3022,268.29,0.3617,303420
1.3047,267.37,0.38959,303920
1.3073,266.39,0.42022,304430
1.31,265.35,0.45395,304970
1.3129,264.26,0.4912,305540
1.3158,263.09,0.53246,306120
1.3189,261.86,0.5783,306740
1.3222,260.55,0.6294,307380
1.3256,259.15,0.68658,308050
1.3291,257.66,0.75086,308760
1.3328,256.08,0.82341,309490
1.3367,254.38,0.90578,310260
1.3408,252.57,0.99976,311070
1.3451,250.62,1.1078,311920
1.3496,248.53,1.2328,312810
1.3544,246.27,1.3791,313750
1.3594,243.82,1.5512,314740
1.3647,241.15,1.7576,315790
1.3704,238.24,2.0067,316910
1.3764,235.01,2.3163,318090
1.383,231.46,2.7053,319380
1.3899,227.41,3.2188,320740
1.3977,222.92,3.9161,322280
1.4059,217.55,4.9298,323870
1.4158,211.59,6.4836,325830
1.4256,203.85,9.2856,327690
1.4393,195.65,14.261,330450
1.4486,182.22,16.802,332030
1.4617,171.58,30.32,334680
1.4549,175.9,52.773,333490
1.4312,187.78,63.995,328710
1.4186,196.96,70.74,326330
1.4035,205.45,75.887,323390
1.389,213.17,79.617,320540
1.3753,220.19,82.411,317860
1.362,226.7,84.577,315230
1.3489,232.81,86.248,312640
1.3359,238.57,87.511,310070
1.323,244.06,88.42,307510
1.3101,249.31,89.013,304940
1.2971,254.34,89.313,302360
1.284,259.17,89.338,299750
1.2708,263.82,89.099,297110
1.2574,268.29,88.605,294430
1.2439,272.6,87.863,291710
1.2302,276.73,86.879,288950
1.2163,280.7,85.657,286140
1.2022,284.49,84.2,283290
1.1879,288.11,82.514,280380
1.1734,291.55,80.602,277420
1.1586,294.8,78.469,274410
1.1437,297.86,76.121,271350
1.1285,300.72,73.563,268240
1.1132,303.37,70.803,265070
1.0976,305.81,67.849,261860
1.0819,308.02,64.71,258600
1.066,310,61.395,255300
1.0499,311.74,57.917,251950
1.0337,313.24,54.287,248560
1.0174,314.48,50.518,245130
1.001,315.47,46.625,241680
0.98449,316.2,42.624,238190
0.96794,316.67,38.529,234680
0.95135,316.88,34.358,231150
0.93476,316.83,30.128,227610
0.91819,316.51,25.856,224060
0.90166,315.95,21.56,220510
0.88522,315.13,17.257,216960
0.86889,314.08,12.966,213430
0.85271,312.79,8.7021,209920
0.8367,311.29,4.4833,206430
0.8208,309.56,0.31228,202950
0.805,307.63,-3.8125,199480
0.78933,305.5,-7.8882,196030
0.77373,303.16,-11.91,192580
0.75826,300.63,-15.866,189150
0.74291,297.92,-19.741,185740
0.72776,295.05,-23.525,182350
0.71277,292.01,-27.201,178990
0.6981,288.88,-30.77,175690
0.68353,285.55,-34.204,172400
0.66941,282.25,-37.528,169220
0.65542,278.68,-40.667,166030
0.64268,275.31,-43.764,163120
0.62842,271.48,-46.631,159860
0.6122,267.64,-49.292,156210
0.60559,266.96,-51.123,154860
0.6355,262.71,-50.875,160310
0.87529,258.11,-56.693,210030
1.151,245.73,-60.377,269160
1.1381,248.43,-61.506,266510
1.1323,248.85,-63.713,265290
1.1395,246.8,-65.668,266770
1.1495,243.88,-67.328,268830
1.1584,240.71,-68.769,270610
1.1673,237.19,-69.973,272390
1.177,233.32,-70.93,274330
1.187,229.19,-71.641,276300
1.1969,224.84,-72.113,278270
1.2069,220.28,-72.345,280240
1.2168,215.53,-72.335,282210
1.2267,210.58,-72.077,284150
1.2365,205.43,-71.565,286080
1.2462,200.08,-70.788,287980
1.2559,194.51,-69.734,289870
1.2655,188.7,-68.377,291730
1.275,182.63,-66.701,293580
1.2844,176.24,-64.642,295400
1.2939,169.57,-62.175,297240
1.3031,162.41,-59.113,299000
1.3128,155.1,-55.375,300870
1.3214,147,-50.228,302480
1.3318,139.15,-43.862,304520
1.3373,127.65,-38.119,305380
1.3458,122.57,-26.497,307090
1.3437,131.57,-13.838,306790
1.3316,142.23,-9.829,304370
1.3273,149.69,-7.405,303640
1.3205,156.5,-5.7394,302320
1.3146,162.29,-4.6815,301200
1.3092,167.35,-3.9172,300170
1.3041,171.87,-3.3359,299190
